TIME_UNITS,Gateway Distance Grd:Goddard,Gateway Distance Grd:Guam,Gateway Distance Grd:WhiteSands,Gateway Distance TDRS13,Gateway Distance TDRS3,Gateway Distance TDRS5,Gateway Distance TDRS7
42300,413665.8829,417583.2994,416338.5711,380043.1339,400101.5322,456291.9376,399784.2783
42330,413659.5799,417596.5601,416333.3634,380000.726,400020.2383,456304.7085,399871.9171
42360,413653.2743,417609.8048,416328.1423,379958.4845,399939.0026,456317.3098,399959.6149
42390,413646.9662,417623.0334,416322.9077,379916.4099,399857.8255,456329.7415,400047.3715
42420,413640.6556,417636.2461,416317.6597,379874.5022,399776.7074,456342.0035,400135.1864
42450,413634.3426,417649.4427,416312.3983,379832.7619,399695.6488,456354.0957,400223.0591
42480,413628.0271,417662.6232,416307.1236,379791.1891,399614.65,456366.0183,400310.9894
42510,413621.7093,417675.7875,416301.8356,379749.7841,399533.7114,456377.771,400398.9767
42540,413615.3891,417688.9356,416296.5343,379708.5473,399452.8336,456389.354,400487.0206
42570,413609.0667,417702.0675,416291.2198,379667.4788,399372.0168,456400.7671,400575.1208
42600,413602.742,417715.1831,416285.8921,379626.5789,399291.2616,456412.0103,400663.2768
42630,413596.4151,417728.2823,416280.5513,379585.8479,399210.5683,456423.0837,400751.4882
42660,413590.0861,417741.3652,416275.1974,379545.2861,399129.9373,456433.9871,400839.7546
42690,413583.755,417754.4317,416269.8304,379504.8936,399049.3692,456444.7205,400928.0756
42720,413577.4218,417767.4817,416264.4503,379464.6708,398968.8642,456455.2839,401016.4507
42750,413571.0866,417780.5153,416259.0573,379424.6179,398888.4228,456465.6773,401104.8795
42780,413564.7494,417793.5323,416253.6513,379384.7352,398808.0455,456475.9007,401193.3617
42810,413558.4103,417806.5327,416248.2324,379345.023,398727.7326,456485.954,401281.8968
42840,413552.0692,417819.5165,416242.8006,379305.4814,398647.4846,456495.8372,401370.4844
42870,413545.7264,417832.4836,416237.356,379266.1108,398567.3019,456505.5502,401459.1241
42900,413539.3817,417845.434,416231.8986,379226.9113,398487.1849,456515.0931,401547.8154
42930,413533.0353,417858.3677,416226.4284,379187.8833,398407.1339,456524.4658,401636.558
42960,413526.6872,417871.2846,416220.9455,379149.027,398327.1496,456533.6683,401725.3515
42990,413520.3374,417884.1847,416215.45,379110.3427,398247.2322,456542.7006,401814.1953
43020,413513.986,417897.0678,416209.9417,379071.8305,398167.3821,456551.5626,401903.0892
43050,413507.633,417909.9341,416204.4209,379033.4908,398087.5998,456560.2544,401992.0327
43080,413501.2785,417922.7835,416198.8875,378995.3238,398007.8858,456568.7758,402081.0253
43110,413494.9225,417935.6158,416193.3416,378957.3298,397928.2404,456577.1269,402170.0668
43140,413488.565,417948.4311,416187.7832,378919.5089,397848.664,456585.3077,402259.1565
43170,413482.2061,417961.2293,416182.2124,378881.8614,397769.157,456593.3181,402348.2942
43200,413475.8459,417974.0104,416176.6291,378844.3877,397689.72,456601.1581,402437.4795
43230,413469.4843,417986.7744,416171.0335,378807.0878,397610.3532,456608.8278,402526.7118
43260,413463.1214,417999.5211,416165.4255,378769.9621,397531.0572,456616.3269,402615.9909
43290,413456.7574,418012.2506,416159.8053,378733.0109,397451.8322,456623.6557,402705.3162
43320,413450.3921,418024.9629,416154.1728,378696.2342,397372.6788,456630.814,402794.6874
43350,413444.0257,418037.6578,416148.5281,378659.6325,397293.5974,456637.8018,402884.104
43380,413437.6582,418050.3353,416142.8712,378623.2058,397214.5883,456644.6192,402973.5657
43410,413431.2896,418062.9955,416137.2022,378586.9546,397135.6521,456651.266,403063.072
43440,413424.9201,418075.6382,416131.5211,378550.8789,397056.789,456657.7423,403152.6225
43470,413418.5495,418088.2634,416125.8279,378514.979,396977.9995,456664.048,403242.2168
43500,413412.1781,418100.8712,416120.1227,378479.2553,396899.2841,456670.1832,403331.8545
43530,413405.8057,418113.4613,416114.4056,378443.7078,396820.6432,456676.1478,403421.5352
43560,413399.4325,418126.0339,416108.6765,378408.3368,396742.0771,456681.9419,403511.2584
43590,413393.0586,418138.5888,416102.9356,378373.1427,396663.5863,456687.5653,403601.0238
43620,413386.6838,418151.126,416097.1828,378338.1255,396585.1712,456693.0182,403690.8309
43650,413380.3084,418163.6455,416091.4181,378303.2855,396506.8322,456698.3004,403780.6793
43680,413373.9323,418176.1472,416085.6418,378268.623,396428.5697,456703.412,403870.5686
43710,413367.5556,418188.6312,416079.8536,378234.1382,396350.3842,456708.353,403960.4984
43740,413361.1783,418201.0973,416074.0538,378199.8313,396272.276,456713.1233,404050.4683
43770,413354.8005,418213.5455,416068.2423,378165.7025,396194.2456,456717.7229,404140.4779
43800,413348.4222,418225.9758,416062.4193,378131.7521,396116.2934,456722.1519,404230.5267
43830,413342.0435,418238.3882,416056.5846,378097.9802,396038.4199,456726.4102,404320.6143
